symbol,current_price,open_price,current_high,current_low,current_volume,recent_high,recent_low,avg_volume,consolidation_range_pct,breakout_pct,volume_ratio,basic_breakout_score,breakout_score,confidence_score,volume_multiplier,breakout_signal,risk_level,trading_bias
BERGEPAINT,536.8,537.25,537.75,536.0,781,550.0,532.8,951.3060471976402,3.168526018357277,-2.23,0.82,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
BIOCON,363.3,363.25,363.4,363.15,5848,364.55,346.8,5838.1814159292035,4.9971556345426436,-0.32,1.0,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
CAMPUS,268.75,268.85,268.9,268.6,2277,297.0,261.0,3828.588061901253,13.373778802921954,-9.46,0.59,0.0,0.0,0.0,1.0,NO_BREAKOUT,HIGH_RISK,SIDEWAYS_BREAKOUT
CESC,154.05,153.99,154.09,153.99,1211,158.43,152.33,3305.9970544918997,3.9234958566902303,-2.74,0.37,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
DEVYANI,181.79,181.8,182.0,181.79,16391,182.7,173.19,7407.000735835173,5.398059193207934,-0.38,2.21,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,NEUTRAL
DEEPAKFERT,1441.8,1440.0,1441.8,1440.0,706,1487.9,1383.2,754.5651214128035,7.30242283477952,-3.1,0.94,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
GODREJCP,1247.3,1247.1,1247.3,1246.3,1527,1309.0,1232.3,4228.028655400441,6.056592333868091,-4.71,0.36,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
GRINDWELL,1602.0,1602.9,1602.9,1602.0,57,1620.3,1515.0,364.31640912435614,6.597916536224653,-1.07,0.16,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
HAPPSTMNDS,566.5,566.35,566.8,566.35,54,577.1,562.75,474.6590742101396,2.5153665794525386,-1.78,0.11,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
NATIONALUM,208.8,208.89,208.99,208.74,9974,209.3,204.5,21586.488,2.314968431547162,-0.15,0.46,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
ABCAPITAL,283.4,283.25,283.5,283.25,26575,283.8,272.7,10751.082582582583,3.989190344266391,-0.11,2.47,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
UBL,1837.7,1833.6,1837.7,1833.6,32,1852.0,1811.9,831.888,2.182770663562274,-0.77,0.04,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
BRIGADE,923.15,923.15,923.65,923.0,760,947.95,918.0,480.68091378039793,3.2138420382145476,-2.56,1.58,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
FORTIS,958.7,958.6,958.9,958.6,6001,960.0,914.3,3359.0926470588233,4.881156882559219,-0.11,1.79,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
GAIL,174.28,174.21,174.36,174.21,4625,181.35,172.86,19932.77573529412,4.7859626353036155,-3.85,0.23,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
GESHIP,966.15,965.3,966.35,965.3,170,975.0,922.5,328.7661764705882,5.478799291209125,-0.89,0.52,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
GRANULES,517.0,517.2,518.0,516.95,4908,524.8,492.45,8832.423218221895,6.294622385348131,-1.3,0.56,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
IGL,215.21,215.09,215.32,214.98,6535,222.0,206.07,5513.0,7.39767315206063,-3.01,1.19,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
INDIANB,668.15,668.0,668.6,667.85,555,671.55,662.65,1494.344,1.3335118008302695,-0.44,0.37,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
ITI,309.75,309.75,309.75,309.75,931,319.85,307.1,3736.472,4.101857320994946,-3.16,0.25,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
JINDALSAW,204.06,204.06,204.23,204.02,322,212.7,204.6,2715.1813333333334,3.91329352574412,-3.98,0.12,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
ADANIPORTS,1331.4,1331.3,1331.6,1331.2,351,1348.8,1316.1,3863.1996996996995,2.4470738617258716,-1.28,0.09,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
BAJFINANCE,941.6,940.05,941.75,940.05,50765,948.0,877.85,24607.797197640117,7.799755807164492,-0.66,2.06,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
WIPRO,246.8,246.69,246.89,246.69,6773,253.15,244.44,11314.211333333333,3.484338306020592,-2.47,0.6,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
EQUITASBNK,52.18,52.12,52.18,52.12,1932,52.97,50.0,11494.638970588236,5.796578164758463,-1.49,0.17,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
GRAPHITE,520.5,520.95,520.95,520.5,193,539.6,514.45,986.2939015429831,4.807997684013013,-3.46,0.2,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
GRINFRA,1291.3,1291.3,1291.3,1291.3,9,1304.6,1242.0,34.91991182953711,4.90906385955789,-1.02,0.26,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
HAVELLS,1581.9,1581.0,1581.9,1580.0,1861,1605.0,1516.5,2616.0426157237325,5.615224894072781,-1.44,0.71,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
HONASA,298.9,298.9,298.9,298.9,2,309.7,293.0,949.234214390602,5.567672962918038,-3.49,0.0,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
IPCALAB,1339.9,1340.0,1340.0,1339.9,6,1361.3,1330.0,865.6213333333334,2.333024052359912,-1.56,0.01,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
JWL,325.8,325.8,325.8,325.55,224,333.6,323.0,1643.2906666666668,3.238586021122105,-2.34,0.14,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
MAHABANK,52.23,52.22,52.24,52.21,558,53.35,51.9,9575.194666666666,2.7655654926597544,-2.08,0.06,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
