symbol,breakout_price,open_price,current_high,current_low,current_volume,breakout_above_resistance,breakout_pct,volume_ratio,scan_date,breakout_time,eod_price,eod_high,eod_low,eod_volume,price_change_pct,breakout_successful,day_range_pct,performance_rank,overall_success_rate
HDFCLIFE,758.8,764.0,773.0,757.8,153733,14.200000000000045,1.8713758566157153,1.0,2025-09-05,09:50:00,760.45,760.5,760.05,10041,0.22,True,2.0,1.11,28.82
LICI,892.45,910.0,910.0,891.45,217860,17.549999999999955,1.9664967225054575,1.0,2025-09-04,09:50:00,877.05,877.6,876.7,15429,-1.73,False,3.73,1.09,28.82
RTNINDIA,61.49,61.12,61.9,61.12,368416,0.4099999999999966,0.666775085379731,1.7430528121118931,2025-09-05,09:50:00,62.09,62.14,61.99,122408,0.98,True,1.66,1.08,28.82
SAMMAANCAP,134.91,135.77,135.78,134.81,462852,0.8700000000000045,0.6448743606849044,0.69517547153375,2025-09-05,09:50:00,137.62,137.71,137.5,122143,2.01,True,2.15,1.07,28.82
ICICIGI,1884.2,1900.0,1920.0,1871.8,54700,35.799999999999955,1.9000106145844367,1.0,2025-09-04,09:50:00,1864.6,1865.5,1864.0,687,-1.04,False,2.97,1.06,28.82
APOLLOTYRE,478.55,481.1,481.15,477.5,50489,2.599999999999966,0.5433079093093649,1.0,2025-09-02,09:50:00,486.95,487.0,486.75,48714,1.76,True,1.99,1.05,28.82
GRANULES,507.35,509.95,509.95,507.1,78111,2.599999999999966,0.5124667389376103,1.0,2025-09-01,09:50:00,516.5,517.75,515.85,58961,1.8,True,2.1,1.04,28.82
NIACL,208.05,210.49,211.9,207.9,474946,3.8499999999999943,1.8505167027156904,1.0,2025-09-04,09:50:00,199.6,200.93,199.6,42240,-4.06,False,5.91,1.04,28.82
VOLTAS,1443.5,1470.0,1470.0,1439.9,52938,26.5,1.8358157256667822,1.0,2025-09-04,09:50:00,1401.1,1403.0,1401.1,9214,-2.94,False,4.77,1.03,28.82
BHARATFORG,1144.2,1165.0,1165.0,1136.0,16337,20.799999999999955,1.8178640097884946,1.0,2025-09-04,09:50:00,1140.1,1140.5,1140.1,67,-0.36,False,2.53,1.03,28.82
HDFCLIFE,788.9,803.0,803.0,787.0,350442,14.100000000000023,1.787298770439856,1.0,2025-09-04,09:50:00,762.65,762.85,762.0,9891,-3.33,False,5.2,1.01,28.82
APTUS,339.05,340.45,345.0,337.5,584238,5.949999999999989,1.7549034065771976,1.0,2025-09-04,09:50:00,334.4,334.4,334.3,115,-1.37,False,3.16,1.0,28.82
RTNINDIA,61.96,61.6,62.5,61.54,786219,0.5399999999999991,0.8715300193673324,1.951006001932265,2025-09-05,09:50:00,62.09,62.14,61.99,122408,0.21,True,1.55,1.0,28.82
MARICO,742.3,754.75,754.75,740.8,101124,12.450000000000045,1.6772194530513331,1.0,2025-09-04,09:50:00,738.1,738.25,737.75,13342,-0.57,False,2.29,0.97,28.82
CAMPUS,293.45,288.1,297.0,288.05,424729,3.5500000000000114,1.2097461237008047,1.6109332686020315,2025-09-04,09:50:00,276.95,276.95,276.0,5111,-5.62,False,7.16,0.97,28.82
GICRE,365.05,365.85,366.95,365.05,13893,1.8999999999999773,0.5204766470346466,1.0,2025-09-01,09:50:00,370.45,370.55,370.4,2082,1.48,True,1.51,0.95,28.82
APTUS,328.05,327.9,331.35,326.2,62079,3.3000000000000114,1.0059442158207623,1.0,2025-09-03,09:50:00,330.75,330.75,330.2,3869,0.82,True,1.57,0.95,28.82
SBFC,105.23,105.75,105.84,105.22,30722,0.6099999999999994,0.5796826000190054,1.0,2025-09-05,09:50:00,106.71,106.94,106.7,3442,1.41,True,1.63,0.95,28.82
RTNINDIA,63.44,63.4,64.0,63.34,1159969,0.5600000000000023,0.8827238335435093,1.958651921788601,2025-09-05,09:50:00,62.09,62.14,61.99,122408,-2.13,False,3.17,0.94,28.82
BAJFINANCE,886.5,892.7,892.7,885.55,67335,6.2000000000000455,0.6993795826283188,1.0,2025-09-03,09:50:00,896.1,896.65,895.55,102750,1.08,True,1.25,0.9,28.82
EXIDEIND,413.35,415.05,415.45,413.2,18992,2.099999999999966,0.5080440304826336,1.0,2025-09-03,09:50:00,418.8,419.75,418.8,24763,1.32,True,1.58,0.9,28.82
POLICYBZR,1851.0,1875.6,1878.7,1845.6,18079,27.700000000000045,1.4964883846569446,1.0,2025-09-05,09:50:00,1822.2,1825.0,1821.4,6687,-1.56,False,3.1,0.9,28.82
FIVESTAR,547.5,555.55,555.55,546.0,25892,8.049999999999955,1.4703196347031882,1.0,2025-09-02,09:50:00,524.85,525.4,524.1,25821,-4.14,False,5.74,0.89,28.82
ASTERDM,598.1,598.0,601.1,597.15,13136,3.0,0.5015883631499749,1.0,2025-09-01,09:50:00,605.7,605.95,605.35,913,1.27,True,1.47,0.88,28.82
AADHARHFC,496.35,498.0,499.4,496.35,13390,3.0499999999999545,0.6144857459453922,1.0,2025-09-01,09:50:00,501.75,502.0,501.75,468,1.09,True,1.14,0.87,28.82
TATACONSUM,1110.1,1126.0,1126.0,1110.0,63953,15.900000000000091,1.4323033960904505,1.0,2025-09-04,09:50:00,1069.9,1071.2,1069.2,27227,-3.62,False,5.12,0.87,28.82
DABUR,569.0,572.2,577.0,569.0,303957,8.0,1.4059753954305798,1.0,2025-09-04,09:50:00,554.5,554.75,554.4,2171,-2.55,False,3.97,0.86,28.82
GODREJCP,1290.9,1309.0,1309.0,1288.8,76283,18.09999999999991,1.4021225501587968,1.0,2025-09-04,09:50:00,1252.8,1253.0,1251.9,1605,-2.95,False,4.42,0.86,28.82
RAYMOND,633.4,638.0,642.2,631.4,16533,8.800000000000068,1.3893274392169352,1.0,2025-09-04,09:50:00,610.25,611.75,610.0,4517,-3.65,False,5.08,0.86,28.82
SCI,216.78,219.7,219.7,216.65,136302,2.9199999999999875,1.3469877294953352,1.0,2025-09-04,09:50:00,214.21,214.47,214.04,30471,-1.19,False,2.61,0.84,28.82
BHEL,218.86,221.12,221.8,218.7,431991,2.9399999999999977,1.3433244996801597,1.0,2025-09-04,09:50:00,214.3,214.33,214.23,1737,-2.08,False,3.46,0.84,28.82
CAMPUS,283.8,288.0,288.3,283.8,122681,4.5,1.5856236786469344,0.6633621393524972,2025-09-04,09:50:00,276.95,276.95,276.0,5111,-2.41,False,4.33,0.83,28.82
ASTERDM,626.25,634.4,634.4,625.0,15781,8.149999999999977,1.3013972055888188,1.0,2025-09-03,09:50:00,620.1,620.5,620.0,7623,-0.98,False,2.3,0.82,28.82
JUBLFOOD,652.7,659.1,660.95,651.85,108575,8.25,1.2639803891527501,1.031919898495008,2025-09-04,09:50:00,652.25,653.35,652.25,17520,-0.07,False,1.39,0.82,28.82
ASTERDM,635.0,637.9,638.35,634.75,12619,3.3500000000000227,0.5275590551181139,1.0,2025-09-05,09:50:00,641.55,642.15,641.55,10282,1.03,True,1.17,0.82,28.82
GPIL,250.69,251.65,253.88,250.2,172602,3.1899999999999977,1.2724879333040797,1.0,2025-09-04,09:50:00,246.0,246.0,245.64,1340,-1.87,False,3.29,0.81,28.82
HDFCLIFE,754.05,758.9,759.65,753.9,105170,5.600000000000023,0.7426563225250346,0.8124278204578549,2025-09-05,09:50:00,760.45,760.5,760.05,10041,0.85,True,0.88,0.8,28.82
AUROPHARMA,1042.2,1055.0,1055.0,1039.1,17672,12.799999999999955,1.2281711763577003,1.0,2025-09-04,09:50:00,1041.8,1042.0,1041.8,56,-0.04,False,1.53,0.79,28.82
HONASA,305.95,309.7,309.7,304.95,11710,3.75,1.2256904722993953,1.0,2025-09-04,09:50:00,302.0,302.1,302.0,14,-1.29,False,2.52,0.79,28.82
IIFL,439.9,442.95,442.95,438.9,74360,3.0500000000000114,0.6933393953171201,1.6753218956641245,2025-09-03,09:50:00,436.0,436.85,435.85,112777,-0.89,False,1.61,0.78,28.82
SBILIFE,1806.1,1815.0,1827.5,1801.2,49583,21.40000000000009,1.1848734843031998,1.0,2025-09-05,09:50:00,1806.3,1806.3,1804.8,6496,0.01,True,1.46,0.78,28.82
SAMMAANCAP,136.9,137.83,138.21,136.9,529211,1.3100000000000023,0.9569028487947422,0.795510539694279,2025-09-05,09:50:00,137.62,137.71,137.5,122143,0.53,True,0.96,0.78,28.82
GPIL,240.65,240.0,243.46,239.08,229341,2.8100000000000023,1.167670891335966,1.0,2025-09-01,09:50:00,238.39,238.86,237.95,43425,-0.94,False,2.29,0.77,28.82
CASTROLIND,197.4,197.4,198.4,196.81,25524,1.0,0.5065856129685917,1.0,2025-09-01,09:50:00,199.17,199.34,199.15,7414,0.9,True,1.28,0.77,28.82
EIDPARRY,1162.3,1152.6,1176.0,1152.6,23111,13.700000000000045,1.1786974103071537,1.0,2025-09-02,09:50:00,1100.5,1103.7,1100.0,4685,-5.32,False,6.54,0.77,28.82
HFCL,70.8,71.25,71.27,70.75,229897,0.46999999999999886,0.6638418079096029,1.6656064799385624,2025-09-02,09:50:00,70.36,70.4,70.36,29812,-0.62,False,1.29,0.77,28.82
GPIL,247.56,250.27,250.73,247.05,130541,3.1699999999999875,1.280497657133619,0.8612503010130532,2025-09-04,09:50:00,246.0,246.0,245.64,1340,-0.63,False,2.06,0.77,28.82
SBICARD,804.55,813.05,813.9,800.35,17362,9.350000000000023,1.1621403268908113,1.0,2025-09-04,09:50:00,792.15,792.7,792.15,1776,-1.54,False,2.7,0.76,28.82
HINDZINC,444.8,449.9,449.9,443.85,55066,5.099999999999966,1.146582733812942,1.0,2025-09-04,09:50:00,439.25,439.35,439.25,67,-1.25,False,2.39,0.76,28.82
STARHEALTH,469.35,474.05,474.8,468.05,226459,5.449999999999989,1.161180355811226,0.9490122618658486,2025-09-04,09:50:00,444.3,446.35,443.75,31899,-5.34,False,6.62,0.75,28.82
GUJGASLTD,444.6,441.4,449.65,440.05,23001,5.0499999999999545,1.135852451641915,1.0,2025-09-04,09:50:00,442.25,442.65,442.25,226,-0.53,False,2.16,0.75,28.82
JKTYRE,353.25,357.25,357.25,352.8,21152,4.0,1.132342533616419,1.0,2025-09-04,09:50:00,343.5,344.35,343.25,5227,-2.76,False,3.96,0.75,28.82
GODIGIT,366.95,367.95,371.1,361.65,140103,4.150000000000034,1.1309442703365673,1.0,2025-09-04,09:50:00,355.05,355.25,355.0,1853,-3.24,False,4.39,0.75,28.82
ASHOKLEY,129.83,130.55,130.59,129.8,218920,0.7599999999999909,0.585380882692745,1.0,2025-09-05,09:50:00,130.77,130.8,130.74,26339,0.72,True,0.77,0.75,28.82
GODREJAGRO,736.15,744.2,744.2,722.7,14634,8.050000000000068,1.0935271344155495,1.0,2025-09-03,09:50:00,736.25,736.3,736.05,334,0.01,True,2.92,0.74,28.82
RTNINDIA,62.86,63.41,63.5,62.71,670093,0.6400000000000006,1.0181355392936693,1.102487129015211,2025-09-05,09:50:00,62.09,62.14,61.99,122408,-1.22,False,2.4,0.74,28.82
FINPIPE,214.55,213.5,216.88,213.5,56750,2.329999999999984,1.0859939408063313,1.0,2025-09-01,09:50:00,213.9,214.12,213.9,22212,-0.3,False,1.58,0.73,28.82
PPLPHARMA,201.35,203.4,203.5,201.17,231340,2.1500000000000057,1.0677924012912867,1.0,2025-09-04,09:50:00,198.51,198.61,198.51,23385,-1.41,False,2.48,0.73,28.82
SUNPHARMA,1580.4,1597.0,1597.0,1579.9,24678,16.59999999999991,1.050366995697286,1.0,2025-09-04,09:50:00,1581.1,1581.7,1581.1,7261,0.04,True,1.08,0.73,28.82
VEDL,441.45,446.0,446.0,440.35,80850,4.550000000000011,1.0306943028655593,1.0,2025-09-04,09:50:00,435.15,435.7,435.15,51028,-1.43,False,2.46,0.71,28.82
ITI,311.0,313.95,314.2,310.8,21070,3.1999999999999886,1.028938906752408,1.0,2025-09-05,09:50:00,307.6,307.8,307.3,3357,-1.09,False,2.22,0.71,28.82
VBL,483.35,485.5,485.9,482.25,284933,2.5499999999999545,0.5275680148960287,1.6689221938308574,2025-09-05,09:50:00,469.35,469.4,469.1,60719,-2.9,False,3.48,0.71,28.82
ABFRL,84.52,84.92,85.37,84.52,433843,0.8500000000000085,1.0056791292001994,1.0,2025-09-02,09:50:00,83.7,83.79,83.57,177773,-0.97,False,2.13,0.7,28.82
TBOTEK,1603.6,1615.0,1619.8,1601.0,33087,16.200000000000045,1.010226989274136,1.0,2025-09-04,09:50:00,1520.0,1523.0,1520.0,3593,-5.21,False,6.22,0.7,28.82
TATASTEEL,167.63,169.0,169.3,167.61,979228,1.670000000000016,0.996241722841983,1.0,2025-09-04,09:50:00,166.82,166.88,166.76,223325,-0.48,False,1.52,0.7,28.82
SAIL,128.93,130.0,130.21,128.83,206508,1.2800000000000011,0.9927867835259452,1.0,2025-09-04,09:50:00,127.37,127.38,127.32,35129,-1.21,False,2.24,0.7,28.82
EXIDEIND,419.05,422.95,423.2,419.0,54587,4.149999999999977,0.9903352821858912,1.0,2025-09-04,09:50:00,409.75,409.75,409.55,519,-2.22,False,3.26,0.7,28.82
JMFINANCIL,185.29,187.29,187.35,185.01,136004,2.0600000000000023,1.1117707377624277,0.8181397092882193,2025-09-04,09:50:00,181.81,182.19,181.7,76485,-1.88,False,3.05,0.69,28.82
ICICIPRULI,604.1,604.75,610.0,602.05,38208,5.899999999999977,0.9766594934613437,1.0,2025-09-05,09:50:00,596.45,596.95,596.35,5647,-1.27,False,2.26,0.69,28.82
IFCI,52.84,52.69,53.12,52.26,100440,0.27999999999999403,0.5299015897047578,1.0,2025-09-02,09:50:00,53.13,53.18,53.1,31545,0.55,True,1.74,0.68,28.82
ASHOKLEY,130.19,131.47,131.48,130.17,544201,1.289999999999992,0.9908595130194271,0.8938332680451909,2025-09-03,09:50:00,130.25,130.27,130.14,171262,0.05,True,1.03,0.68,28.82
EIHOTEL,411.15,405.0,413.6,404.7,63865,2.4500000000000455,0.5958895780129018,1.0,2025-09-03,09:50:00,413.1,413.65,412.6,6961,0.47,True,2.18,0.68,28.82
STARHEALTH,473.95,479.35,479.35,473.85,182441,5.400000000000034,1.1393606920561314,0.7517708383410366,2025-09-04,09:50:00,444.3,446.35,443.75,31899,-6.26,False,7.51,0.68,28.82
ITC,413.05,416.9,417.0,413.05,125333,3.9499999999999886,0.9563006899891027,1.0,2025-09-05,09:50:00,407.45,407.5,407.25,41217,-1.36,False,2.36,0.68,28.82
STARHEALTH,464.7,470.2,470.2,464.45,89126,5.5,1.1835592855605768,0.6695212554180846,2025-09-04,09:50:00,444.3,446.35,443.75,31899,-4.39,False,5.69,0.67,28.82
BPCL,314.15,315.9,316.25,314.0,26393,2.1000000000000227,0.6684704758873222,1.0,2025-09-02,09:50:00,315.15,315.2,314.85,21109,0.32,True,0.72,0.66,28.82
SAMMAANCAP,139.64,140.0,140.9,139.5,883699,1.2600000000000193,0.9023202520767828,1.0,2025-09-05,09:50:00,137.62,137.71,137.5,122143,-1.45,False,2.43,0.66,28.82
MFSL,1593.9,1580.9,1608.2,1580.9,18510,14.299999999999955,0.8971704623878508,1.0,2025-09-05,09:50:00,1575.0,1575.8,1574.3,5386,-1.19,False,2.13,0.66,28.82
