symbol,breakout_price,open_price,current_high,current_low,current_volume,breakout_above_resistance,breakout_pct,volume_ratio,probability_score,scan_date,breakout_time,eod_price,eod_high,eod_low,eod_volume,price_change_pct,breakout_successful,day_range_pct,performance_rank,overall_success_rate
HINDPETRO,387.8,397.05,397.05,386.4,262063,9.25,2.385250128932439,1.0,80.0,2025-08-18,09:50:00,386.75,386.8,386.2,34768,-0.27,False,2.8,0.67,40.28
CIEINDIA,399.45,398.3,411.2,397.5,21222,11.75,2.9415446238578045,1.0,70.0,2025-09-02,09:50:00,398.0,399.5,397.8,2749,-0.36,False,3.43,0.67,40.28
SAMMAANCAP,137.3,139.3,140.43,137.1,627129,3.1299999999999955,2.27967953386744,1.0,80.0,2025-09-04,09:50:00,136.71,136.8,136.7,62679,-0.43,False,2.72,0.67,40.28
BPCL,322.75,322.25,330.0,322.05,375762,7.25,2.2463206816421377,1.0,80.0,2025-08-11,09:50:00,320.95,321.15,320.95,26590,-0.56,False,2.8,0.66,40.28
BLS,367.35,370.85,371.1,367.0,50351,3.75,1.0208248264597795,1.0,60.0,2025-08-28,09:50:00,370.9,370.9,370.7,1559,0.97,True,1.12,0.65,40.28
ACE,979.1,991.8,1004.4,971.2,43608,25.299999999999955,2.584005719538347,1.0,70.0,2025-08-12,09:50:00,942.3,942.3,941.1,10510,-3.76,False,6.47,0.64,40.28
HONASA,297.05,291.45,302.0,290.5,441253,4.949999999999989,1.6663861302810934,1.2794689044051126,80.0,2025-08-13,09:50:00,284.55,285.15,284.5,69428,-4.21,False,5.89,0.63,40.28
IGL,207.69,205.04,211.41,204.33,357809,3.719999999999999,1.7911310125668058,1.0,80.0,2025-08-01,09:50:00,201.18,201.74,201.17,32324,-3.13,False,4.93,0.62,40.28
APTUS,328.05,327.9,331.35,326.2,62079,3.3000000000000114,1.0059442158207623,1.0,60.0,2025-09-03,09:50:00,330.75,330.75,330.2,3869,0.82,True,1.57,0.61,40.28
HDFCLIFE,758.8,764.0,773.0,757.8,153733,14.200000000000045,1.8713758566157153,1.0,60.0,2025-09-05,09:50:00,760.45,760.5,760.05,10041,0.22,True,2.0,0.57,40.28
EIHOTEL,411.15,405.0,413.6,404.7,63865,2.4500000000000455,0.5958895780129018,1.0,70.0,2025-09-03,09:50:00,413.1,413.65,412.6,6961,0.47,True,2.18,0.56,40.28
BRIGADE,938.4,950.7,950.7,933.6,53448,12.300000000000068,1.3107416879795468,1.7861726018607635,60.0,2025-08-14,09:50:00,939.6,942.0,939.6,7810,0.13,True,1.82,0.55,40.28
BLS,382.1,389.0,389.6,382.1,507399,7.5,1.9628369536770478,0.8277524372577425,60.0,2025-08-26,09:50:00,372.0,372.35,371.85,127594,-2.64,False,4.65,0.53,40.28
FINCABLES,888.85,897.55,900.05,888.85,116308,11.199999999999932,1.2600551274118166,1.447958618371501,60.0,2025-08-22,09:50:00,849.25,849.6,849.05,14369,-4.46,False,5.74,0.5,40.28
HONASA,289.95,283.0,292.5,283.0,248491,2.5500000000000114,0.8794619762027975,1.0,70.0,2025-08-13,09:50:00,284.55,285.15,284.5,69428,-1.86,False,3.28,0.49,40.28
